Theory_MeV,Scale_Type,k_Node,Is_Prime,Stability_Score,Status,Match_Name,Error_Percent
70.0253,MESON (A^-1),1,False,60,RESONANCE,,
104.1163,LEPTON (N),1,False,90,CONFIRMED,Muon,1.4827
140.0505,MESON (A^-1),2,True,90,CONFIRMED,Pion+,0.3431
156.3757,BARYON (Pi^5),1,False,80,PREDICTION,,
208.2326,LEPTON (N),2,True,80,PREDICTION,,
210.0758,MESON (A^-1),3,True,90,PREDICTION,,
280.1010,MESON (A^-1),4,False,60,RESONANCE,,
312.3489,LEPTON (N),3,True,80,PREDICTION,,
312.7515,BARYON (Pi^5),2,True,110,PREDICTION,,
350.1263,MESON (A^-1),5,True,90,PREDICTION,,
416.4653,LEPTON (N),4,False,50,RESONANCE,,
420.1515,MESON (A^-1),6,False,60,RESONANCE,,
469.1272,BARYON (Pi^5),3,True,110,PREDICTION,,
490.1768,MESON (A^-1),7,True,90,CONFIRMED,Kaon+,0.7126
520.5816,LEPTON (N),5,True,80,PREDICTION,,
560.2020,MESON (A^-1),8,False,60,CONFIRMED,Eta,2.2031
624.6979,LEPTON (N),6,False,50,RESONANCE,,
625.5030,BARYON (Pi^5),4,False,80,PREDICTION,,
630.2273,MESON (A^-1),9,False,60,RESONANCE,,
700.2525,MESON (A^-1),10,False,40,NOISE,,
728.8142,LEPTON (N),7,True,80,PREDICTION,,
770.2778,MESON (A^-1),11,True,70,CONFIRMED,Rho(770),0.6468
781.8787,BARYON (Pi^5),5,True,110,CONFIRMED,Rho(770),0.8465
832.9305,LEPTON (N),8,False,50,RESONANCE,,
840.3030,MESON (A^-1),12,False,40,NOISE,,
910.3283,MESON (A^-1),13,True,70,PREDICTION,,
937.0468,LEPTON (N),9,False,50,CONFIRMED,Eta_prime,2.2126
938.2544,BARYON (Pi^5),6,False,100,CONFIRMED,Eta_prime,2.0811
980.3535,MESON (A^-1),14,False,40,CONFIRMED,Eta_prime,2.3026
1041.1632,LEPTON (N),10,False,30,CONFIRMED,Phi(1020),2.0845
1050.3788,MESON (A^-1),15,False,40,NOISE,,
1094.6302,BARYON (Pi^5),7,True,110,CONFIRMED,Lambda,1.9230
1120.4040,MESON (A^-1),16,False,40,CONFIRMED,Lambda,0.4216
1145.2795,LEPTON (N),11,True,60,RESONANCE,,
1190.4293,MESON (A^-1),17,True,70,CONFIRMED,Sigma+,0.0890
1249.3958,LEPTON (N),12,False,30,CONFIRMED,a1(1260),1.5524
1251.0059,BARYON (Pi^5),8,False,80,CONFIRMED,a1(1260),1.6791
1260.4545,MESON (A^-1),18,False,40,CONFIRMED,a1(1260),2.4162
1330.4798,MESON (A^-1),19,True,70,CONFIRMED,Xi-,0.6591
1353.5121,LEPTON (N),13,True,60,CONFIRMED,Xi-,2.3496
1400.5050,MESON (A^-1),20,False,40,CONFIRMED,Sigma(1385),1.1071
1407.3816,BARYON (Pi^5),9,False,80,CONFIRMED,Sigma(1385),1.5903
1457.6284,LEPTON (N),14,False,30,CONFIRMED,Roper N(1440),1.2094
1470.5303,MESON (A^-1),21,False,40,CONFIRMED,Roper N(1440),2.0761
1540.5555,MESON (A^-1),22,False,40,CONFIRMED,Lambda(1520),1.3343
1561.7447,LEPTON (N),15,False,30,CONFIRMED,N(1535),1.7125
1563.7574,BARYON (Pi^5),10,False,60,CONFIRMED,N(1535),1.8390
1610.5808,MESON (A^-1),23,True,70,CONFIRMED,Delta(1600),0.6570
1665.8610,LEPTON (N),16,False,30,CONFIRMED,Omega-,0.3955
1680.6060,MESON (A^-1),24,False,40,CONFIRMED,f0(1710) Glueball?,2.3440
1720.1331,BARYON (Pi^5),11,True,90,CONFIRMED,f0(1710) Glueball?,0.0077
1750.6313,MESON (A^-1),25,False,40,CONFIRMED,Tau,1.4948
1769.9774,LEPTON (N),17,True,60,CONFIRMED,Tau,0.3855
1820.6565,MESON (A^-1),26,False,40,CONFIRMED,Tau,2.4088
1874.0937,LEPTON (N),18,False,30,CONFIRMED,D+,0.2398
1876.5089,BARYON (Pi^5),12,False,60,CONFIRMED,D+,0.3682
1890.6818,MESON (A^-1),27,False,40,CONFIRMED,D+,1.1150
1960.7070,MESON (A^-1),28,False,40,CONFIRMED,D_s+,0.3873
1978.2100,LEPTON (N),19,True,60,CONFIRMED,D_s+,0.5010
2030.7323,MESON (A^-1),29,True,70,PREDICTION,,
2032.8846,BARYON (Pi^5),13,True,90,PREDICTION,,
2082.3263,LEPTON (N),20,False,30,NOISE,,
2100.7575,MESON (A^-1),30,False,40,NOISE,,
2170.7828,MESON (A^-1),31,True,70,PREDICTION,,
